词根词缀,含义,示例
a,"一【前缀】用于加强语气,不【后缀】表示抽象名词",atom（n 原子(a不+tom=不能在切割的小东西=原子)）
ab,"prep. 从, 自【前缀】 表示“偏离，脱离或离开”之义",abuse（滥用(ab+use用=用坏=滥用)）
ability,/ E5biliti/  n.能力；才能【后缀】表示抽象名词,probability(n.可能性；概率)
abl,词根：能力,able(adj. 能；[经管] 有能力的；能干的)
able,/ 5eibl/  能【后缀】表性质、大小状况、状貌,indispensable(a.必不可少的，必需的)
ably,adv. 巧妙地【后缀】表副词，“能…地”,"miserably(ad. 悲惨地,糟糕地)"
abol,词根：废除,abolish(vt. 废除，废止；取消，革除)
abs,【前缀】离开，离去,"abstract（抽象的,心不在焉的(abs+tract拉=被拉开=心不在焉)）"
ac,"【词根】酸的；尖锐的【前缀】＝ad-[用于c,k或q前]","acid(adj. 酸的；讽刺的；刻薄的)
accept(vt. 接受；承认；承担（ac往里，cept拿）)"
academ,词根：学术,academic（adj. 学术的；理论的；学院的）
acal,后缀：用以构成的词仅用作形容词，＝-ac,maniacal(adj. 疯狂的，狂热的；躁狂的)
accoutr,词根：dress（穿着）,accoutrement （n. 穿着；配备（等于accouterment））
ace,"/ eis/  n.(纸牌中的)""A""牌，爱司【后缀】表示地点",terrace(n.平台，阳台，露台)
acea,后缀:某些动物纲名、目名,crustacea(n.甲壳类)
aceae,后缀:许多植物科名,pinaceae((pl. )松科)
aceous,后缀：表形容词，“具有…特征的”,foliaceous(a 叶状的(foli 叶+aceous;参考:foliage树叶))
acer,"词根：苦, 酸, 尖",acerbic（adj. 尖刻的（等于acerb）；酸的；辛辣的）
acerb,"adj. 尖锐的；酸涩的【词根】尖,酸,锐利",acerbate(adj. 恼怒的；粗鄙的)
acet,"【化】 次乙基; 乙酰【词根】sharp,sour尖,酸",acetimeter(n.  醋酸比重计)
acid,/ 5Asid/  a.酸的【词根】酸的；尖锐的,acid(n.酸；酸的，酸性的)
acious,后缀：表形容词，“有特征的，多…的”,"sagacious(a 精明的,智慧的(sag+aclous多…的=知道很多的=智慧的))"
acity,后缀：表名词，“有…倾向”,capacity(n.容量；能力；能量)
acle,后缀： 表名词，“…物品，状态”,"manacle(n 手铐,束缚(man+acle东西=手上的东西=手铐))"
acm,词根：top（顶端）,acme（n. 顶点，极点；最高点）
acou,"词根：听,闻",acoustics（n. 声学；音响效果，音质）
acr,【词根】酸的；尖锐的,"acrid(adj.  刺激的; 刻薄的; 苦的, 辣的)"
acri,词根：表示“尖，酸，锐利”,acrid(adj.  刺激的; 刻薄的)
acro,前缀：表示“最高，顶点，开头” ,acrobat杂技演员
act,/ Akt/  表演【词根】行为；行动,react(vi.起反应；有影响)
acu,词根：表示“尖，酸，锐利”,acute(adj.  尖锐的; 剧烈的)
acy,后缀：表名词，“性质，状态”,"intimacy(n.  亲密, 亲昵行为)"
ad,/ Ad/  abbr.公元（后）【前缀】表示“向……”之义,adjust（v.  调节; 校正; 改变...以适应; 校准）
add,vi. 加；增加【词根】加,addendum(n.  补遗; 补篇; 追加; 附录)
ade,n.果汁饮料【后缀】表示抽象名词,"renegade(n.  背教者, 叛徒, 变节者)"
adelph,词根：兄弟,adelphogamy(n. 姊妹交配，同胞交配)
adip,词根：fat（肥）,adipose（adj. 脂肪的；肥胖的）
adjut,词根：assist（帮助）,adjutant（n. 副官，助手）
ado,"n. 忙乱【后缀】构成名词，表示“人”,“物”",desperado（n. 亡命之徒，暴徒（de+sper+ado人→无希望之人→亡命徒））
advant,词根：ahead（前面）,advantage（n. 优势；利益；有利条件）
ae,后缀：用于动植物名称后构成动植物科名；构成复数,algae(n. [植] 藻类；[植] 海藻)
aeg,"词根：山羊,保护、庇护",aegagrus(n.野山羊)
aem,词根：血,anaemic(adj. 贫血的，患贫血症的；无活力的)
aer,【医】 气压单位【词根】空气；天空,aerial(空气的(aeri+al表形容词))
aeri,词根：表示“空气，充气”等,aerial(adj.  航空的; 由飞机进行的; 飞机的; 空气的)
aero,adj.航空的。【词根】表示“空气，充气”等,aerospace(n.  航空宇宙)
aesth,词根：发觉,aesthete(n. 唯美主义者；审美家)
aesthet,【词根】感觉,aesthetics(n 美学(aesthet感觉+ics))
aestiv,【词根】夏天,aestivation(n.  度夏; 夏眠)
af,【前缀】表示动作的开始或结束；转为动词,"affect(v 影响,感动(af使+fect=使人做=影响))"
after,adv. 后来【前缀】表示“在…后面”，“在…以后” ,aftercare（n. 安置；病后的照顾调养）
ag,/ Ag/ a. 农业的【词根】行为；行动【前缀】转为动词,"agent(作用因素,代理人(ag+ent表人或物=做的人=代理人))"
agap,词根：爱,agape(n.神对世人的爱)
age,/ eidV/  n. 年龄；时代；寿命【后缀】表示抽象名词,hostage(n.人质，抵押品)
agi,词根：表示摇动、行动、驱使、领导、引领等,agitate（vt. 摇动；骚动；使…激动)
ago,adv. 以前【词根】引导 ,pedagog(n. （小学）教师)
agog,adj. 兴奋的。词根：表示“引导”,"demagogue(n.  煽动者, 群众煽动者)"
agogue,【词根】领导者,demagogue(n 煽动者(dem人民+agogue=引导肉民者=煽动者))
agon,n. 斗争；竞赛。词根：表示“挣扎，斗争”,agony(n.极度痛苦; 临死的痛苦; 苦恼)
agor,词根：市场,agora(n. 市场；集会)
agr,【词根】田野，农田,agriculture(n.农业，农艺；农学)
agri,【词根】田地，农田,agrimotor(农用拖拉机(agri+motor机动车))
agro,n. 暴力行为。 词根：表示“田地，农业”等,agronomy(n.  农学; 农业经营学)
ain,【后缀】表示“人”,captain(n.  陆军上尉; 空军上尉; 海军上校; 船长; 首领)
aire,n. 亚耳河（英国约克郡西部河流）【后缀】表示“人”,millionaire(n.百分富翁，巨富)
al,【词根】滋养【前缀】总的【后缀】表示抽象名词,principal(a.主要的)
alacr,词根：swift（迅速）,alacrity(n. 敏捷；轻快；乐意)
alb,n. 白麻布圣职衣【词根】表示“白色”,"albino(n.  白化变种, 白化病者, 白公)"
albo,"词根：白色, 无色",albino(n. [皮肤] 白化病者；[遗] 白化体；白化现象)
ald,词根：old（老）,alderman（n. 市议员；总督；市府参事）
alesc,"词根：形成becoming,growing",coalesce(v. 合并；结合；联合)
alex,词根：保护，防卫,alexin(n.杀菌素，补体，防御素)
alg,adj. 代数学上的【词根】痛苦,analgesic(adj.  止痛的; 不痛的)
algia,后缀：用于构成名词，表示“痛”，“疼痛”,gastralgia(n. [内科] 胃痛)
ali,【词根】其他的,"alien(外国的,外来的(ali+en表形容词或名词=其他地方的=外国的,外国人的))"
alit,"词根：形成becoming,growing",coalition(n. 联合；结合，合并)
ality,后缀：表名词，“状态，性质”,frugality(n.  节约; 节俭; 朴素)
all,/ R:l/  pron.全部；全体【词根】异；其他的,allogamy(n.  异花受精; 异体受精)
allel,"【医】 等位基因, 对偶基因【词根】另一个",parallel(a.平行的；相同的)
allo,"adj. 紧密相联的；同分异构的【词根】分歧,不同",allogamy(n. 异体受精，异花受粉)
ally,n.同盟者。词根：表副词，由  al+ly构成，“…地”,conditionally(adv.  附有条件地)
alt,/ Alt/ n. 高音调a. 高音调的【词根】高的,exalted（adj.  高贵的; 欣喜的; 崇高的）
alter,/ 5R:ltE/  v.改变，变更【词根】其他的,alternative(n.替换物；取舍，抉择)
altern,"adj. 轮流的；交错的【词根】表示""其他的，改变状态""",alternation(n. 交替，轮流，间隔)
altr,【词根】其他的,altruistic（adj.  利他的; 无私心的）
altru,"词根：other其他,他人","altruism(n.  利他, 利他主义, 无私)"
am,"/ Am, Em/  上午【词根】喜爱【前缀】不；无",amateur(n.  业余从事者; 粗通的人; 外行; 爱好者)
amat,词根：表示“爱，情爱”,amatory(adj.  爱情的; 色情的; 恋爱的)
amb,【前缀】周围；二者,ambient(a.周围的，包围着的)
ambi,"【前缀】二,双",ambition(n.雄心，抱负，野心)
ambl,词根：walk行走,"amble(v.  缓行; 轻松地走, 从容漫步)"
amble,"vi.缓行, 溜蹄【词根】走","preamble（前言,绪言(pre+amble跑=跑在前面=前言)）"
ambul,【词根】行走,ambulance(n.救护车(ambul+ance=走的东西=救护车))
amen,/ 5a:5men/n. 祈祷的结束语；赞成【词根】愉快,amenity(n. 舒适；礼仪；愉快；便利设施)
ami,"词根：爱, 喜欢, 爱好",amiable(adj. 和蔼可亲的，亲切的)
amic,【医】 氨的【词根】friend（朋友）,amicable（adj. 友好的；友善的）
amin,abbr. 最小声幅【后缀】表“物质”,vitamin(n.维生素，维他命)
amoeb,词根：变化,amoeba(n. 阿米巴；变形虫（单细胞生物）)
amor,n.爱神丘比特。词根：表示“爱，情爱”,amorous(adj.  多情的; 表示爱情的; 恋爱的)
amphi,"【前缀】二,双","amphibian（n.  两栖动物, 水陆两用车）"
ampl,【词根】大,amplify（放大; 扩大; 增强; 扩展; 发挥）
ample,/ 5Ampl/  a.充裕的【词根】拿,example(n.例子，实例；模范)
an,"/ An, En/  一【前缀】无；非；缺乏【后缀】表示""人""",anarchy（无政府状态(an无+archy)）
ana,"/ 'B:nE/ n. 言论集, 语录【前缀】表示相似",analogue(n.类似物；同源语)
ance,n. 状态；性质；情况【后缀】表示抽象名词,nuisance(n.讨厌的东西)
anch,词根：弯曲,anchor(n. 锚；抛锚停泊；靠山)
anci,【前缀】在前,ancient（a 古代的(anci+ent)）
anct,词根：表示“神圣”,sanctify(v.  使神圣化; 使圣洁)
ancy,【后缀】表示抽象名词,inerrancy（n 无错误(in无+err+ancy=无错误)）
and,conj. 和【后缀】附在动词后构成名词，表示“对象”,viand（n. 食物；食品）
andr,前缀：男,androgyne(n.  具有男女两性的人)
andro,n. 穿心莲内酯（中药成分）【词根】男人；男性,androgyny（n 半男半女(andro男+gyny女=不男不女)）
ane,"后缀：构成名词，表示“烷,烷属烃”",methane（n. [有化] 甲烷；[能源] 沼气）
aneity,后缀：表名词，表示“性质，状态”,spontaneity(n.  自发性; 自然发生)
aneous,后缀：表形容词，表示“…有；…特征的”,"simultaneous(adj.  同时的, 同时发生的)"
ang,【词根】勒死；窒息；尖角,anger(n.怒，愤怒)
angl,【词根】角,triangle（三角形(tri+angle角)）
angu,词根：distress（苦恼）,anguish（n. 痛苦；苦恼）
angul,【词根】角,triangular(a.三角的；三者间的)
angust,词根：狭窄,angusty(n. 狭窄)
anim,【词根】呼吸；心,unanimous(a.(全体)一致的)
ank,词根：弯曲,"ankle（n.  踝, 足踝; 踝关节）"
ann,【词根】年,annually(ad.年年，每年)
annu,词根：年，一年,annual(adj. 年度的；每年的)
ano,"词根：上, 后, 再,重新；肛门",anode（n. [电子] 阳极，[电] 正极）
ant,/ Ant/  蚂蚁【前缀】在前；相反【后缀】表示“人”,"sergeant（n.  警官, 军士）"
ante,"/ 'Anti/ n. 赌注vt. 下赌注【前缀】在前；先前,早于","anterior（adj.  前部的, 前面的; 较早的; 以前的; 在前的）"
anth,词根：花 ,anthology(n. （诗、文、曲、画等的）选集)anthophilous（adj. 虫媒的；喜花的）
anthrac,词根：煤,anthracite(n. [矿物] 无烟煤)
anthrop,【词根】人,anthropology（n.  人类学）
anti,n. 反对者【前缀】在前；与post相反；相反；抵抗,anticipate(vt.预料，预期，期望)
antiq,词根：表示“古老”,"antique(n.  古董, 古物)"
anx,词根：紧，痛苦,"anxious（adj.  忧虑的, 渴望的, 热心的）"
ap,【前缀】远，离，分离,apart（adv.  分别地; 分离; 分成零件）
aper,n. 模仿者【词根】打开 ,aperture(n. 孔，穴)
aph,词根：远，离，分离,aphonia（n. [耳鼻喉] 失音；不能发音）aphelion（n. 远日点）
api,词根：蜜蜂,apiary(n. 蜂房；养蜂场)
apic,词根：顶部,apical(adj. 顶上的；顶点的)
apo,"【前缀】远,远离","apology（n 道歉,认错(apo离开+logy=退后一步说=道歉)）"
apsis,n. 教堂东端之半圆室【后缀】情况，状态：另见-sis ,periapsis（n. [天] 近拱点）
apt,/ Apt/  adj. 恰当的【词根】合适的,adapt(vt.使适应；改编)
aqu,【词根】水,"aquatic（adj.  水上的, 水生的, 水中的）"
aqua,n. 水；溶液【词根】水,"aquatic（adj.  水上的, 水生的, 水中的）"
aquil,词根：eagie（鹰）,aquiline （adj. 鹰的；似鹰的，像鹰的；钩状的）
ar,【前缀】转为动词【后缀】表性质、大小状况、状貌,pedlar(n.(挨户兜售的)小贩)
arbit,词根：表示“判断”,"arbiter(n.  公断人, 裁决者, 仲裁人)"
arbitr,词根：judge判断,arbitrage(n.  仲裁; 套利交易; 套汇)
